iter	RMSE
256	0.1525633445
257	0.1524497513
258	0.152387719
259	0.1523107504
260	0.1522066235
261	0.1521105406
262	0.1520442575
263	0.1519756011
264	0.151878851
265	0.1518068126
266	0.1517060334
267	0.151570161
268	0.1514799649
269	0.1513822399
270	0.1513119685
271	0.1511902459
272	0.1511288758
273	0.1510777937
274	0.1509946534
275	0.1509354733
276	0.1508779651
277	0.1507670344
278	0.1506853128
279	0.1506126496
280	0.1505379007
281	0.1504243324
282	0.1503647554
283	0.1502113302
284	0.1501546884
285	0.1500485828
286	0.1499506134
287	0.1498365564
288	0.1497498636
289	0.149653815
290	0.1495409297
291	0.1494059236
292	0.1493320525
293	0.1492391245
294	0.1491536451
295	0.1490677841
296	0.1489888648
297	0.1489280848
298	0.1488434491
299	0.1487571189
300	0.1486986299
301	0.1486662866
302	0.1485639447
303	0.1484896581
304	0.1484284457
305	0.1483631448
306	0.1482541633
307	0.148193232
308	0.1481283461
309	0.1480704734
310	0.1479907513
311	0.1479506037
312	0.1478857533
313	0.1477838532
314	0.1476859855
315	0.1475710239
316	0.1475073273
317	0.1474530013
318	0.1474341395
319	0.1473565437
320	0.1472478871
321	0.1471668008
322	0.1471138846
323	0.1470489789
324	0.1469653778
325	0.1468940115
326	0.1468673131
327	0.1467879281
328	0.146691569
329	0.1466031529
330	0.1465451935
331	0.146452404
332	0.1463660586
333	0.1463401007
334	0.1462863973
335	0.1462165165
336	0.1461444157
337	0.146049621
338	0.1459394212
339	0.1458396277
340	0.1457854674
341	0.1456854131
342	0.1456393508
343	0.1455673207
344	0.1454711029
345	0.1453938381
346	0.1453455329
347	0.1452796663
348	0.1452160765
349	0.1451732452
350	0.1451095935
351	0.1450180436
352	0.1449354796
353	0.1448424181
354	0.1447229405
355	0.1446502839
356	0.1445984182
357	0.1445356735
358	0.1444607796
359	0.1444097222
360	0.1443622312
361	0.1442988226
362	0.1442350473
363	0.1441872139
364	0.1441192259
365	0.1440715109
366	0.14402299
367	0.1439407804
368	0.143881559
369	0.1438208828
370	0.1437651017
371	0.1437238544
372	0.1436666089
373	0.1436210505
374	0.1435583368
375	0.1435169902
376	0.1434536362
377	0.1433833702
378	0.1432806838
379	0.1432128097
380	0.1431395693
381	0.1430478659
382	0.1429971518
383	0.1429188098
384	0.142840462
385	0.1427691678
386	0.1427169862
387	0.1426361527
388	0.1425492937
389	0.1424944726
390	0.1424071761
391	0.1423548121
392	0.1422619162
393	0.1422062603
394	0.1421462926
395	0.142099369
396	0.1420447215
397	0.1419401798
398	0.141895685
399	0.1418215043
400	0.1417633641
401	0.141683235
402	0.1416305687
403	0.1415872292
404	0.1415456013
405	0.1414616885
406	0.1414188807
407	0.1413751635
408	0.1413049949
409	0.1412631547
410	0.1412102433
411	0.1411555401
412	0.1411148875
413	0.1410610944
414	0.1410051491
415	0.1409567401
416	0.1409037509
417	0.1408510437
418	0.1407694735
419	0.1407241178
420	0.1406416766
421	0.1406011956
422	0.1405342778
423	0.1404728198
424	0.140420406
425	0.1403430029
426	0.1402805761
427	0.1402428576
428	0.1401717057
429	0.1401298988
430	0.1400784656
431	0.1400444389
432	0.140003785
433	0.1399564608
434	0.1398645562
435	0.1398114894
436	0.139757114
437	0.1397244139
438	0.1396793986
439	0.139629605
440	0.1396006833
441	0.1395717594
442	0.1395409001
443	0.139471218
444	0.1394290588
445	0.1393859123
446	0.1393331489
447	0.139290573
448	0.1392468797
449	0.1391961546
450	0.1391356739
451	0.139104833
452	0.1390440348
453	0.1389915524
454	0.138938154
455	0.1388810842
456	0.138846473
457	0.1387907108
458	0.1387245277
459	0.1386742911
460	0.1386169366
461	0.1385693469
462	0.1385166344
463	0.1384780823
464	0.1384293374
465	0.1383812591
466	0.1383423856
467	0.1382981266
468	0.1382676297
469	0.1382312239
470	0.1381671388
471	0.1381159976
472	0.1380735125
473	0.1380268305
474	0.1379567884
475	0.1379256451
476	0.1378603022
477	0.1378040154
478	0.1377524627
479	0.1377258355
480	0.1376703815
481	0.1376301788
482	0.1375910917
483	0.1375482528
484	0.1375062752
485	0.1374604695
486	0.1374242842
487	0.1373547639
488	0.1372809915
489	0.1372558617
490	0.1372211933
491	0.137129589
492	0.1370834689
493	0.1370487925
494	0.1370024545
495	0.1369544366
496	0.1368852108
497	0.1368196193
498	0.1367657808
499	0.1367366686
